City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Banda Aceh,ID,78.96,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
193,Pacifica,US,83.07,haze,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
194,Namatanai,PG,84.2,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
198,Poya,NC,78.51,light rain,-21.35,165.15,
200,Kieta,PG,84.63,clear sky,-6.2167,155.6333,Uruna Bay Retreat
204,Simpang Empat,MY,75.61,broken clouds,4.95,100.6333,"Fifiey Homestay 1, Selinsing RM160"
206,Alenquer,BR,78.76,overcast clouds,-1.9417,-54.7383,Detinha Hotel
217,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
218,Cockburn Town,TC,80.56,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
219,Faanui,PF,78.21,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
221,Bengkulu,ID,75.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
222,Shingu,JP,82.94,clear sky,33.7333,135.9833,Shingu UI Hotel
227,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
230,Bismil,TR,82.13,clear sky,37.8486,40.6658,Hotel Dolay
234,Ishigaki,JP,84.72,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
235,Tawau,MY,79.88,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
237,Charlottetown,CA,75.78,clear sky,46.2352,-63.1267,Rodd Charlottetown
238,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
239,Mahibadhoo,MV,82.56,overcast clouds,3.7833,72.9667,Omadhoo Inn
240,Padang,ID,77.52,overcast clouds,-0.9492,100.3543,Mercure Padang
247,Nara,JP,81.77,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
248,Portland,US,82.56,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
252,Port Blair,IN,80.42,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
253,Fort Nelson,CA,77.22,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
255,Moindou,NC,77.81,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
258,Gander,CA,77.16,broken clouds,48.9682,-54.5906,Quality Hotel & Suites
260,Kavieng,PG,82.08,light rain,-2.5744,150.7967,Nusa Island Retreat
266,Tual,ID,77.72,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
267,Bathsheba,BB,80.06,clear sky,13.2167,-59.5167,Atlantis Hotel
268,Balangir,IN,77.99,overcast clouds,20.7167,83.4833,Sarojinee Residency
270,Panalingaan,PH,81.32,broken clouds,8.7842,117.4231,I Love Panalingaan View Deck
272,Nantucket,US,80.02,clear sky,41.2835,-70.0995,Jared Coffin House
274,Isabela,PH,79.86,light rain,6.7085,121.9711,Isawad Resort
286,Akyab,MM,78.13,heavy intensity rain,20.15,92.9,Hotel Memory
292,Jieshi,CN,84.94,clear sky,22.8134,115.8257,Yuehai Hotel
293,Mogadishu,SO,75.54,light rain,2.0371,45.3438,Hotel Juba
294,Santa Ines,BR,78.1,scattered clouds,-3.6667,-45.38,Palace hotel
296,Haicheng,CN,76.53,light rain,40.8516,122.7475,Haicheng Grand Hotel
301,Noumea,NC,77.0,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
309,Labuan,MY,80.53,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
314,Sisophon,KH,77.94,overcast clouds,13.5859,102.9737,Pyramid Hotel
316,Alta Floresta,BR,75.36,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
318,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
320,Korla,CN,80.31,clear sky,41.7597,86.1469,Gulisitan Hotel
322,Koumac,NC,78.35,moderate rain,-20.5667,164.2833,Le Monitel
323,Hushitai,CN,78.71,overcast clouds,41.9322,123.5114,Home Inn Plus Shenyang Shihutai University Town
324,Praya,CV,76.26,broken clouds,14.9215,-23.5087,LT Aparthotel
325,Muzaffargarh,PK,80.62,overcast clouds,30.0754,71.1921,NewAghosh hotel and restaurant
333,Kavaratti,IN,81.09,overcast clouds,10.5669,72.642,Green leaf
336,Tari,NG,80.31,overcast clouds,12.4086,4.4914,
339,Kupang,ID,76.35,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
345,Kahului,US,80.83,clear sky,20.8947,-156.47,Maui Seaside Hotel
347,Urumqi,CN,81.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
348,Tiznit,MA,82.44,scattered clouds,29.5833,-9.5,
354,Cabra,ES,81.18,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
358,Qianan,CN,76.17,clear sky,44.9932,124.0581,Qian'an Hotel
360,Pundaguitan,PH,82.85,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
367,Puerto El Triunfo,SV,75.99,overcast clouds,13.2833,-88.55,Hotel Jardin
372,Lorengau,PG,83.75,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
375,Monrovia,LR,76.93,overcast clouds,6.3005,-10.7969,Sunset Inn
377,Kamaishi,JP,75.92,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
378,Porto Novo,BJ,75.18,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
380,Voh,NC,81.34,light rain,-20.9667,164.7,Le gîte du Koniambo
391,Ofunato,JP,76.6,scattered clouds,39.0717,141.7167,Ofunato Hot Spring
399,Bainbridge,US,79.83,clear sky,47.6262,-122.5212,Bainbridge Island Country Inn
400,Kirakira,SB,84.56,few clouds,-10.4544,161.9205,SanBiz Lodge
