City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Omboue,GA,-1.5746,9.2618,70.48,83,63,8.01,broken clouds
206,Faya,SA,18.3851,42.4509,68.52,46,93,4.16,overcast clouds
207,Edd,ER,13.9297,41.6925,91.27,59,97,2.89,overcast clouds
208,Marsa Matruh,EG,31.3525,27.2453,77.2,83,0,6.91,clear sky
209,Mandera,KE,3.9366,41.867,75.97,60,51,18.88,broken clouds
210,Upernavik,GL,72.7868,-56.1549,42.6,94,100,19.42,overcast clouds
211,Scarborough,GB,54.2797,-0.4044,56.79,86,100,1.99,overcast clouds
212,Awbari,LY,26.5921,12.7805,80.62,20,0,7.16,clear sky
213,Circleville,US,39.6006,-82.946,88.65,40,0,4.61,clear sky
214,Medea,DZ,36.2642,2.7539,73.56,48,0,1.19,clear sky
215,Kropotkin,RU,45.4375,40.5756,64.09,79,8,13.24,clear sky
216,Upata,VE,8.0086,-62.3989,82.18,80,35,5.26,scattered clouds
217,Nanortalik,GL,60.1432,-45.2371,46.65,84,23,4.07,few clouds
218,Szentmartonkata,HU,47.4542,19.7014,75.54,42,37,6.91,scattered clouds
219,Luang Prabang,LA,19.8856,102.1347,72.5,100,99,1.25,overcast clouds
220,Riyadh,SA,24.6877,46.7219,91.54,18,24,6.22,few clouds
221,Port Hardy,CA,50.6996,-127.4199,64.58,68,75,12.66,broken clouds
222,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,81,78,1.52,broken clouds
223,Lorengau,PG,-2.0226,147.2712,82.89,78,33,10.38,scattered clouds
224,Burns Lake,CA,54.2331,-125.7533,72.82,32,19,5.57,few clouds
225,Butembo,CD,0.15,29.2833,58.06,84,98,2.8,overcast clouds
226,Cidreira,BR,-30.1811,-50.2056,62.94,94,98,5.66,overcast clouds
227,Kyaikto,MM,17.3,97.0167,76.33,91,100,5.82,overcast clouds
228,Mogadishu,SO,2.0371,45.3438,75.7,82,32,17.36,scattered clouds
229,Luwuk,ID,-0.9516,122.7875,77.07,89,58,4.85,broken clouds
230,North Bend,US,43.4065,-124.2243,76.24,81,0,19.57,clear sky
231,Lucapa,AO,-8.4192,20.7447,69.89,34,27,3.04,scattered clouds
232,Jorochito,BO,-18.05,-63.4333,79.12,71,0,6.89,clear sky
233,Mildura,AU,-34.2,142.15,54.07,80,100,9.75,light rain
234,Kishtwar,IN,33.3167,75.7667,69.35,98,100,1.21,overcast clouds
235,Sorland,NO,67.667,12.6934,49.86,88,100,20.04,overcast clouds
236,Ancud,CL,-41.8697,-73.8203,40.23,97,100,18.43,moderate rain
237,Dikson,RU,73.5069,80.5464,51.62,78,88,14.0,overcast clouds
238,Shihezi,CN,44.3,86.0333,77.85,23,0,1.97,clear sky
239,Naze,JP,28.3667,129.4833,79.72,74,28,7.23,scattered clouds
240,Olafsvik,IS,64.8945,-23.7142,53.78,80,31,4.16,scattered clouds
241,Victoria,HK,22.2855,114.1577,87.33,85,44,4.0,scattered clouds
242,Chernyshevskiy,RU,63.0128,112.4714,64.99,70,100,3.13,overcast clouds
243,Tairua,NZ,-37.0167,175.85,54.21,67,100,8.1,overcast clouds
244,Mareeba,AU,-17.0,145.4333,67.48,80,7,2.77,clear sky
245,Nabire,ID,-3.3667,135.4833,77.77,87,57,2.1,broken clouds
246,Khasan,RU,42.4308,130.6434,65.44,96,100,5.55,overcast clouds
247,Ola,RU,59.5833,151.2833,71.15,65,43,1.66,scattered clouds
248,Kasungu,MW,-13.0333,33.4833,56.44,72,4,4.32,clear sky
249,Waipawa,NZ,-41.4122,175.5153,45.23,72,100,3.91,overcast clouds
250,Alirajpur,IN,22.3031,74.3546,75.65,90,100,12.37,moderate rain
251,Marawi,PH,7.9986,124.2928,72.0,90,96,1.92,overcast clouds
252,Paranaiba,BR,-19.6772,-51.1908,75.0,33,10,5.3,clear sky
253,Bandarbeyla,SO,9.4942,50.8122,77.13,78,37,29.64,scattered clouds
254,Nome,US,64.5011,-165.4064,50.16,93,100,13.8,overcast clouds
255,Cockburn Town,TC,21.4612,-71.1419,82.04,79,100,18.79,overcast clouds
256,Erzin,TR,36.9559,36.2,75.29,57,0,1.81,clear sky
257,Lumphat,KH,13.4878,106.9816,72.39,98,99,2.19,overcast clouds
258,Tabuk,PH,17.4189,121.4443,77.9,85,7,2.13,clear sky
259,Dingzhou,CN,38.5131,114.9956,71.71,77,92,5.12,overcast clouds
260,Krasnoselkup,RU,65.7,82.4667,52.2,94,83,9.33,broken clouds
261,Airai,TL,-8.9266,125.4092,55.15,73,92,3.02,overcast clouds
262,Kangaba,ML,11.9333,-8.4167,73.87,92,86,3.89,overcast clouds
263,La Ronge,CA,55.1001,-105.2842,59.25,63,75,16.11,broken clouds
264,Chazuta,PE,-6.5742,-76.1367,92.25,73,29,2.89,scattered clouds
265,Ladwa,IN,29.9944,77.0444,81.36,77,100,7.18,overcast clouds
266,Port Hedland,AU,-20.3167,118.5667,66.25,100,40,6.91,scattered clouds
267,Hovd,MN,48.0056,91.6419,60.96,54,35,6.22,scattered clouds
268,Boca Do Acre,BR,-8.7522,-67.3978,78.15,68,70,3.18,broken clouds
269,Salinopolis,BR,-0.6136,-47.3561,78.93,83,83,9.78,broken clouds
270,Bama,NG,11.5221,13.6856,78.31,73,84,6.26,broken clouds
271,Fort Nelson,CA,58.8053,-122.7002,72.99,35,75,6.91,broken clouds
272,Kruisfontein,ZA,-34.0033,24.7314,49.89,79,100,6.31,overcast clouds
273,Abraveses,PT,40.6814,-7.921,61.21,72,3,2.1,clear sky
274,Bairiki,KI,1.3292,172.9752,78.8,94,75,1.14,light rain
275,Wamba,NG,8.9333,8.6,70.84,95,99,1.81,overcast clouds
276,Alice Springs,AU,-23.7,133.8833,45.95,53,1,2.3,clear sky
277,Chimbote,PE,-9.0853,-78.5783,62.85,83,6,9.75,clear sky
278,Methoni,GR,36.8197,21.7049,81.21,67,0,8.72,clear sky
279,Albemarle,US,35.3501,-80.2001,93.76,63,0,3.44,clear sky
280,Baykit,RU,61.67,96.37,61.29,89,99,2.55,overcast clouds
281,Sao Filipe,CV,14.8961,-24.4956,75.18,81,72,1.83,broken clouds
282,Yurgamysh,RU,55.3714,64.4656,58.37,88,67,6.8,broken clouds
283,Sambava,MG,-14.2667,50.1667,66.83,88,40,10.49,light rain
284,Sioux Lookout,CA,50.1001,-91.917,71.67,64,40,10.36,scattered clouds
285,Tefe,BR,-3.3542,-64.7114,82.51,78,75,0.0,thunderstorm
286,Bucerias,MX,20.75,-105.3333,92.98,58,45,11.48,scattered clouds
287,Partizanskoye,RU,55.5006,94.39,55.96,87,33,4.14,scattered clouds
288,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.87,86,0,14.45,clear sky
289,Bambous Virieux,MU,-20.3428,57.7575,66.45,100,75,10.36,light rain
290,Vardo,NO,70.3705,31.1107,49.98,93,100,2.3,overcast clouds
291,Broken Hill,AU,-31.95,141.4333,56.14,67,99,8.86,overcast clouds
292,Eureka,US,40.8021,-124.1637,79.66,73,11,7.0,few clouds
293,Ponta Do Sol,PT,32.6667,-17.1,71.71,80,15,4.72,few clouds
294,Muisne,EC,0.6,-80.0333,73.42,81,96,9.98,overcast clouds
295,Carnarvon,AU,-24.8667,113.6333,61.65,67,6,9.53,clear sky
296,Nhulunbuy,AU,-12.2333,136.7667,66.81,88,69,3.44,broken clouds
297,Mount Isa,AU,-20.7333,139.5,53.37,50,0,0.0,clear sky
298,Chilca,PE,-12.5211,-76.7372,60.19,87,33,5.93,scattered clouds
299,Ladnun,IN,27.65,74.3833,82.63,76,98,3.85,overcast clouds
300,Tsiroanomandidy,MG,-18.7667,46.0333,55.9,75,39,2.15,scattered clouds
301,Camapua,BR,-19.5314,-54.0439,75.51,33,11,3.24,few clouds
302,Cayenne,GF,4.9333,-52.3333,83.08,1,20,2.3,few clouds
303,Baghdad,IQ,33.3406,44.4009,92.82,16,0,11.1,clear sky
304,Shimoda,JP,34.6667,138.95,79.65,76,0,17.47,clear sky
305,Goderich,CA,43.7501,-81.7165,82.9,44,0,8.05,clear sky
306,Nong Khai,TH,17.9167,103.0833,77.29,98,100,5.14,overcast clouds
307,Chifeng,CN,42.2683,118.9636,67.87,80,100,8.23,light rain
308,Aklavik,CA,68.2191,-135.0107,68.0,68,75,8.05,shower rain
309,Novikovo,RU,51.1537,37.8879,56.08,95,38,8.05,scattered clouds
310,Port Moresby,PG,-9.4431,147.1797,78.55,81,82,3.0,broken clouds
311,Esperance,AU,-33.8667,121.9,55.56,67,62,16.49,broken clouds
312,Laguna,US,38.421,-121.4238,103.75,17,0,13.8,clear sky
313,Karratha,AU,-20.7377,116.8463,67.71,60,0,8.55,clear sky
314,Pathardih,IN,23.6667,86.4333,80.08,88,100,6.62,overcast clouds
315,Emba,KZ,48.8264,58.1442,72.39,50,56,3.74,broken clouds
316,Coffs Harbour,AU,-30.3,153.1333,55.36,94,75,12.66,broken clouds
317,Sadat,IN,25.6833,83.2833,84.11,75,100,11.86,overcast clouds
318,Constitucion,CL,-35.3333,-72.4167,53.67,93,30,8.16,scattered clouds
319,Lerwick,GB,60.1545,-1.1494,50.0,75,100,9.33,overcast clouds
320,Kabinda,CD,-6.1333,24.4833,73.53,38,88,4.16,overcast clouds
321,Bahar,IR,34.9072,48.4414,66.36,24,0,6.91,clear sky
322,Tuntum,BR,-5.2581,-44.6489,81.37,42,91,2.01,overcast clouds
323,Tilichiki,RU,60.4667,166.1,59.72,51,8,1.36,clear sky
324,Grong,NO,64.4654,12.3149,48.06,85,84,3.53,broken clouds
325,Ambilobe,MG,-13.2,49.05,62.91,81,0,3.85,clear sky
326,Garowe,SO,8.4054,48.4845,75.0,69,48,25.01,scattered clouds
327,Sumkino,RU,58.1108,68.3244,50.45,93,22,5.21,few clouds
328,Constantine,DZ,36.365,6.6147,81.81,34,40,4.61,scattered clouds
329,Nizhniy Kuranakh,RU,58.8353,125.4869,75.79,66,99,2.48,overcast clouds
330,Formosa,AR,-26.1775,-58.1781,76.98,65,100,4.61,overcast clouds
331,Ajaccio,FR,42.0,8.9167,73.45,73,0,6.91,clear sky
332,Palauig,PH,15.435,119.9045,82.72,75,24,2.95,few clouds
333,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,88,20,13.8,few clouds
334,Troitsko-Pechorsk,RU,62.7084,56.1964,44.67,85,44,1.57,scattered clouds
335,Miri,MY,4.4148,114.0089,73.54,100,20,3.44,few clouds
336,Boyolangu,ID,-8.1181,111.8935,72.01,91,59,3.83,broken clouds
337,Komsomolets,KZ,53.7453,62.0708,57.88,85,2,6.33,clear sky
338,Uzhur,RU,55.3036,89.8339,54.0,91,99,5.82,overcast clouds
339,Tavistock,GB,50.5494,-4.1442,59.67,85,49,3.02,scattered clouds
340,Igarka,RU,67.4667,86.5833,61.36,72,49,10.96,scattered clouds
341,Ketchikan,US,55.3422,-131.6461,64.87,68,75,10.36,broken clouds
342,Redlands,US,34.0556,-117.1825,105.53,27,0,4.61,haze
343,Pisco,PE,-13.7,-76.2167,60.85,82,75,5.75,mist
344,Morant Bay,JM,17.8815,-76.4093,87.42,77,8,11.63,clear sky
345,Cullera,ES,39.1667,-0.25,82.65,80,9,4.0,clear sky
346,Uusikaupunki,FI,60.8004,21.4084,61.29,95,94,7.56,overcast clouds
